CustomerID,FirstPurchase,LastPurchase,NumOrders,TotalSpend,TotalItems,Country,Recency,Frequency,Monetary,AvgOrderValue,CohortMonth,IsRepeat
14646,2010-12-20 10:09:00,2011-12-08 12:12:00,72,279138.02,196844,Netherlands,2,72,279138.02,3876.9169444444447,2010-12,True
18102,2010-12-07 16:42:00,2011-12-09 11:50:00,60,259657.3,64124,United Kingdom,1,60,259657.3,4327.621666666667,2010-12,True
17450,2010-12-07 09:23:00,2011-12-01 13:29:00,46,194390.79,69973,United Kingdom,8,46,194390.79,4225.886739130435,2010-12,True
16446,2011-05-18 09:52:00,2011-12-09 09:15:00,2,168472.5,80997,United Kingdom,1,2,168472.5,84236.25,2011-05,True
14911,2010-12-01 14:05:00,2011-12-08 15:54:00,198,136161.83,80154,EIRE,1,198,136161.83,687.6860101010101,2010-12,True
12415,2011-01-06 11:12:00,2011-11-15 14:22:00,20,124564.53,77373,Australia,24,20,124564.53,6228.2265,2011-01,True
14156,2010-12-03 11:48:00,2011-11-30 10:54:00,54,116560.08,57755,EIRE,10,54,116560.08,2158.52,2010-12,True
17511,2010-12-01 10:19:00,2011-12-07 10:12:00,31,91062.38,64549,United Kingdom,3,31,91062.38,2937.496129032258,2010-12,True
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215,United Kingdom,326,1,77183.6,77183.6,2011-01,False
16029,2010-12-01 09:57:00,2011-11-01 10:27:00,62,72708.09,40107,United Kingdom,39,62,72708.09,1172.711129032258,2010-12,True
