StockCode,Description,TotalQuantity,TotalRevenue,NumOrders,AvgUnitPrice,NumCustomers,RevenueRank
22423,REGENCY CAKESTAND 3 TIER,13851,174156.54,1988,13.983936223218734,881,1
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08,1,2
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37641,104462.75,2198,3.1178384376387043,856,3
47566,PARTY BUNTING,18283,99445.23,1685,5.797928193054738,708,4
85099B,JUMBO BAG RED RETROSPOT,48371,94159.81,2089,2.4861972498814606,635,5
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92000000001,247,1.46848,138,6
23084,RABBIT NIGHT LIGHT,30739,66870.03,994,2.386401179941003,450,7
22086,PAPER CHAIN KIT 50'S CHRISTMAS,19329,64875.590000000004,1160,3.362331081081081,613,8
84879,ASSORTED COLOUR BIRD ORNAMENT,36362,58927.62,1455,1.7225745257452574,678,9
79321,CHILLI LIGHTS,10302,54096.36,661,6.7953973013493245,205,10
